fold,epoch,loss,val_dice,val_iou,val_hd95,baseline_dice,delta,lr_bb,sec,ft,bd,w
0,0,0.7951783817641589,0.3397289024662429,0.2296130169436096,97.59386405432276,0.3888955634602504,-0.0491666609940074,6e-06,15.135558605194092,0.60430908203125,0.0,0.0
0,1,0.6458457732687191,0.3852290521607593,0.2771157208184325,92.58276752343905,0.3888955634602504,-0.003666511299491,1.2e-05,15.459598779678345,0.6273472309112549,0.0,0.0
0,2,0.6207278796604702,0.3633103171893795,0.2622802055477823,78.72903233869876,0.3888955634602504,-0.0255852462708708,1.8e-05,15.31822943687439,0.5103379487991333,0.0,0.0
0,3,0.6019945296705985,0.4553377615323895,0.3416718372030407,85.20397782887076,0.3888955634602504,0.0664421980721391,2.4e-05,24.580873012542725,0.468635618686676,0.0,0.0
0,4,0.5602168343505081,0.4430689010640975,0.3279722020173029,96.15709762465544,0.3888955634602504,0.0541733376038471,3.0000000000000004e-05,25.452086448669437,0.6846795082092285,0.0,0.0
0,5,0.5523141695528614,0.3994501762415099,0.2927594255721633,111.37566430226694,0.3888955634602504,0.0105546127812595,3e-05,26.186760425567627,0.8916019201278687,0.0,0.0
0,6,0.5263681697602175,0.5267485676017101,0.4050866378958284,87.10381940758707,0.3888955634602504,0.1378530041414596,2.999179886011389e-05,24.98276996612549,0.4700531363487243,0.0,0.0
0,7,0.4879248853848905,0.4688856628199896,0.3542830238394854,78.04385870199806,0.3888955634602504,0.0799900993597392,2.9967204408281615e-05,25.273050785064697,0.4986193180084228,0.0,0.0
0,8,0.4550980350800923,0.4901880552367283,0.3793115565499746,79.03767380709797,0.3888955634602504,0.1012924917764779,2.992624353817517e-05,24.660109043121334,0.3993998765945434,0.0,0.0
0,9,0.4564341963553915,0.4830090106907833,0.3874027322076061,46.46055701462812,0.3888955634602504,0.0941134472305329,2.9868961039904628e-05,25.037090301513672,0.3485181629657745,0.0,0.0
0,10,0.4387358755481486,0.5153947884273927,0.3981318218105795,72.37069365633289,0.3888955634602504,0.1264992249671423,2.979541955104084e-05,27.421327352523804,0.1638263463973999,0.0,0.0
0,11,0.4335946422450396,0.4985500511104729,0.386014423446459,66.48389813262779,0.3888955634602504,0.1096544876502225,2.970569948812214e-05,25.770838260650635,0.2696127891540527,0.0,0.0
0,12,0.4216302678901322,0.5095082094130189,0.3963147473389167,62.74276445546197,0.3888955634602504,0.1206126459527685,2.9599898958720088e-05,25.06389856338501,0.6430495977401733,0.0,0.0
0,13,0.4011310852912007,0.5611664887845724,0.45730736850929,48.54877058053722,0.3888955634602504,0.172270925324322,2.947813365416023e-05,24.93826699256897,0.2526289522647857,0.0,0.0
0,14,0.3851510146442725,0.535117425564582,0.4358781789928453,50.58900594140834,0.3888955634602504,0.1462218621043315,2.9340536723015367e-05,25.665812015533447,0.9048357009887696,0.0,0.0
0,15,0.4244564996690166,0.5618746125245212,0.4552243624664374,56.30879580072936,0.3888955634602504,0.1729790490642708,2.918725862550952e-05,26.89184808731079,0.3541581034660339,0.0,0.0
0,16,0.3991569606017093,0.5343993177180191,0.4158568259647178,71.21246822822229,0.3888955634602504,0.1455037542577686,2.9018466968991916e-05,25.401599407196045,0.3766226768493652,0.0,0.0
0,17,0.3676757928060025,0.5431433018879791,0.4339602887611441,69.67755928222573,0.3888955634602504,0.1542477384277287,2.883434632466077e-05,25.09892582893372,0.1688317656517028,0.0,0.0
0,18,0.3523623779111979,0.5385348405014836,0.4400172829698535,43.34595792913328,0.3888955634602504,0.1496392770412332,2.863509802573744e-05,24.546547412872314,0.2627243995666504,0.0,0.0
0,19,0.3441085280204305,0.4634859485054411,0.3725837394168381,52.6693297428465,0.3888955634602504,0.0745903850451907,2.842093994731145e-05,24.4942319393158,0.2840895652770996,0.0,0.0
0,20,0.3232678518611557,0.5487241429733108,0.4433987376018403,46.77403699039115,0.3888955634602504,0.1598285795130604,2.8192106268097336e-05,38.456486225128174,0.161931112408638,-0.0020811343565583,0.0012626262626262
0,21,0.3314354377133505,0.5597294197281364,0.4613430742868968,47.61853983135456,0.3888955634602504,0.170833856267886,2.794884721436361e-05,32.1230354309082,0.1949658244848251,0.1463769674301147,0.0075757575757575
0,22,0.3450588503358315,0.5395651995378081,0.4296297496738818,74.80097788048057,0.3888955634602504,0.1506696360775577,2.769142878631403e-05,31.854745149612427,0.1228801161050796,-0.007665280252695,0.0138888888888888
0,23,0.3160484396681494,0.5287713480008123,0.4276630035380862,53.28098837457879,0.3888955634602504,0.1398757845405618,2.74201324672203e-05,31.16078543663025,0.3623219132423401,0.0197441950440406,0.0202020202020201
0,24,0.327046133425771,0.5321917264678206,0.4308844219570536,52.74666320586363,0.3888955634602504,0.1432961630075702,2.7135254915624213e-05,31.09325790405273,0.26569265127182,-0.0115595534443855,0.0265151515151515
0,25,0.2976364654545881,0.5115816650649521,0.4268635771743295,43.065609159913535,0.3888955634602504,0.1226861016047016,2.6837107640945904e-05,37.06073999404907,0.125836968421936,-0.0195613838732242,0.0328282828282828
0,26,0.3304029286515956,0.5535039899497786,0.4472958705300736,54.07456810838111,0.3888955634602504,0.1646084264895281,2.6526016662852887e-05,32.87708353996277,0.2833854556083679,-0.0263263750821352,0.0391414141414141
0,27,0.3058176554587422,0.5450208071740062,0.4434875986126926,52.36131170926262,0.3888955634602504,0.1561252437137558,2.620232215476231e-05,30.95563578605652,0.2535798549652099,-0.0344242416322231,0.0454545454545454
0,28,0.3066670271206875,0.559125771582046,0.4589762797469939,53.16750914291214,0.3888955634602504,0.1702302081217956,2.5866378071866338e-05,31.79399561882019,0.3966752886772156,0.1253659725189209,0.0517676767676767
0,29,0.3031864163218712,0.5686790591639795,0.4688282632406047,41.23319009445272,0.3888955634602504,0.1797834957037291,2.5518551764087326e-05,31.145898580551147,0.3614283502101898,-0.00748679228127,0.058080808080808
