grup,n,A,B,fark,medyan,p,p_holm
<200 px,26,0.38071253810615396,0.3800567357409639,0.0006558023651900557,0.0,0.7676577617530682,1.0
200-800 px,67,0.7567861576206378,0.6966031707065202,0.060182986914117484,0.024191345377786,1.0915541883664344e-05,4.3662167534657374e-05
800-2000 px,86,0.7739166348393832,0.7844982848359123,-0.010581649996529288,0.0009161377826445993,0.6465295710082931,1.0
>2000 px,65,0.8153732144030419,0.7750886967300326,0.04028451767300928,0.0003300414863756096,0.30644145535053324,0.9193243660515997
