karsilastirma,fark,medyan,p,kazanan,n
SAM2: prior var vs yok,0.06626758383816661,0.015140632574045076,2.2099946993917977e-07,155,244
EVA-02: prior var vs yok,0.040203116448021596,0.003576209844700029,0.012546566751233015,128,244
Maske prompt: prior var vs yok,0.04267011361773669,0.0018230572236695441,0.026554978477872863,126,244
4 kanal vs maske prompt,0.0235974702204299,0.007998064401624594,0.007572686790833005,137,244
SAM2 + prior vs nnU-Net,0.03468488343439923,-0.005842630680562677,0.7863612747314925,101,244
