kol,dice,sd,hd95,hd95_50,medyan,bos,dice0
Taban cizgisi (prior kopyala),0.4095166105102077,0.02532759071709005,,,,,
"SAM2, prior yok",0.6724768677819757,0.02899366859027038,32.51366460663596,48.0,13.583020508556595,2.0,19.0
"EVA-02, prior yok",0.6833695311520722,0.024218555419105583,28.059448621808,35.0,12.13862531255718,1.0,17.0
nnU-Net (2 kanal),0.7037392090565937,0.04275344513462366,14.24114137034137,5.0,10.002493781056042,14.0,20.0
SAM2 + prior (maske prompt),0.7150310597931322,0.028636284674996994,28.54916127639651,33.0,13.760882305241257,1.0,9.0
EVA-02 + prior (4 kanal),0.7236952876397865,0.033244057639009304,18.950198323402983,17.0,9.115670137719247,0.0,11.0
SAM2 + prior (4 kanal) - ANA MODEL,0.7387630552237411,0.034625672120209255,20.30258031341431,23.0,9.0,1.0,6.0
