grup,n,A,B,fark,p
nnunet_prior Dice = 0 olan ciftler,20,0.4305490908112467,0.0,0.4305490908112467,0.0006549583433856954
sam2_prior Dice = 0 olan ciftler,6,0.0,0.005464480874316933,-0.005464480874316933,1.0
Prior hedefe degmiyor (touch=False),27,0.5753490646784611,0.32228563458678655,0.25306343009167453,0.01012799054939065
Prior kapsamasi Q1 (dusuk),61,0.6932626199628704,0.5517885746732237,0.14147404528964683,0.011991582968096538
Lezyon > 800 px,151,0.7917621823336733,0.7948719110503304,-0.003109728716657025,0.38870417016641634
