fold,epoch,loss,val_dice,val_iou,val_hd95,hd95_undefined,n_val,baseline_dice,delta,lr_bb,sec,ft,bd,w,gate
0,0,0.809012691585385,0.26741685935258824,0.17994766235517953,93.76150773014356,6,50,0.3888955634602504,-0.12147870410766215,6e-06,14.330692768096924,0.7732304334640503,0.0,0.0,-0.004121894016861916
0,1,0.6535012308432131,0.3715522043783238,0.26641282954950213,94.44610259018565,2,50,0.3888955634602504,-0.01734335908192658,1.2e-05,15.013254642486572,0.6548711061477661,0.0,0.0,-0.015921028330922127
0,2,0.6238689215815797,0.35446953418016247,0.25192804424015514,86.53547433150621,3,50,0.3888955634602504,-0.03442602928008792,1.8e-05,14.669260740280151,0.42522573471069336,0.0,0.0,-0.037436265498399734
0,3,0.6800069304145112,0.3903128677951478,0.2806719121065798,87.76098650196901,3,50,0.3888955634602504,0.0014173043348973957,2.4e-05,23.20850133895874,0.5054839253425598,0.0,0.0,-0.05383425951004028
0,4,0.5383847623455281,0.4444137399617057,0.33143484263503076,66.06301990586633,3,50,0.3888955634602504,0.055518176501455296,3.0000000000000004e-05,25.147509574890137,0.5708685517311096,0.0,0.0,-0.07717006653547287
0,5,0.497398031609399,0.5510513571254528,0.43321957435093006,56.24135053982514,0,50,0.3888955634602504,0.16215579366520244,3e-05,23.80323815345764,0.6459636688232422,0.0,0.0,-0.10761871188879013
0,6,0.4711741467519682,0.4036912819083044,0.2837877221755881,97.62397559928857,0,50,0.3888955634602504,0.014795718448053996,2.999179886011389e-05,25.10647416114807,0.5053179264068604,0.0,0.0,-0.13160432875156403
0,7,0.45994875808151403,0.5710621659807223,0.4498471898276913,63.05239383544757,0,50,0.3888955634602504,0.18216660252047195,2.9967204408281618e-05,24.592007160186768,0.4237220883369446,0.0,0.0,-0.13902446627616882
0,8,0.42932351663404583,0.5912838405116336,0.4677165420732785,56.559293788118815,0,50,0.3888955634602504,0.20238827705138324,2.9926243538175172e-05,25.345954418182373,0.38873541355133057,0.0,0.0,-0.14395715296268463
0,9,0.42151676270426536,0.5805423533440213,0.4640579306087109,57.9432737554525,0,50,0.3888955634602504,0.19164678988377087,2.9868961039904628e-05,24.973395586013794,0.4406680166721344,0.0,0.0,-0.14776556193828583
0,10,0.39533538386529804,0.5045139182227737,0.3792183976210375,65.44619453659782,0,50,0.3888955634602504,0.1156183547625233,2.9795419551040836e-05,27.470622301101685,0.3152915835380554,0.0,0.0,-0.15227316319942474
0,11,0.3964178005651552,0.6201712989573672,0.5007603344712988,43.57721356816735,0,50,0.3888955634602504,0.23127573549711683,2.970569948812214e-05,24.11508011817932,0.35001900792121887,0.0,0.0,-0.1564999371767044
0,12,0.4153086999241187,0.5902123922472152,0.47415545945691306,48.32769951775336,0,50,0.3888955634602504,0.20131682878696483,2.9599898958720088e-05,24.225468158721924,0.49454450607299805,0.0,0.0,-0.15826739370822906
0,13,0.3847219697674926,0.6244853915637021,0.5070072446799115,44.284325875898986,1,50,0.3888955634602504,0.2355898281034517,2.947813365416023e-05,23.542367219924927,0.20959927141666412,0.0,0.0,-0.16262522339820862
0,14,0.38087794580021683,0.5846735875056752,0.47017351427920007,44.747123828548204,2,50,0.3888955634602504,0.19577802404542483,2.9340536723015367e-05,24.467191219329834,0.9413877129554749,0.0,0.0,-0.16199980676174164
0,15,0.3812647948459703,0.6225893982865909,0.5034169759594646,50.84579274931906,0,50,0.3888955634602504,0.23369383482634049,2.9187258625509518e-05,26.129363775253296,0.26046454906463623,0.0,0.0,-0.169001966714859
0,16,0.3714710662559587,0.6099077339880097,0.4893435433738602,51.62551320617861,0,50,0.3888955634602504,0.2210121705277593,2.9018466968991913e-05,24.419585466384888,0.2582263648509979,0.0,0.0,-0.16931334137916565
0,17,0.3499147952819357,0.603177313364235,0.4828270414977049,42.65804643122848,0,50,0.3888955634602504,0.21428174990398458,2.883434632466077e-05,24.040218830108643,0.2522065341472626,0.0,0.0,-0.17285799980163574
