pair_id,fold,dice_a,dice_b,dice_mean,iou_mean,dice_pmax,hd95_a,hd95_b,hd95_mean,dice_oracle,dice_copy
A10_H10__t1_t2,0,0.12173913043478261,0.7044534412955465,0.38073394495412843,0.23512747875354106,0.12805755395683452,149.68048717517505,6.868691769624715,147.55591838463482,0.7044534412955465,0.1204081632653061
A10_H6__t1_t2,0,0.862738301559792,0.8364801078894134,0.8468744677227048,0.7344165435745938,0.830207468879668,9.412537464580227,11.081152949374525,9.916871790987855,0.862738301559792,0.3589895401618314
A10_H6__t2_t3,0,0.8234871610702101,0.9227106808443104,0.8935091277890467,0.8075160403299725,0.9218970104867742,5.6916737785629525,4.0,3.1622776601683795,0.9227106808443104,0.3579474342928661
A11_H10__t1_t2,0,0.9037607343796269,0.8514669926650367,0.8797814207650273,0.7853658536585366,0.9012062033314188,6.082762530298219,11.0,9.219544457292887,0.9037607343796269,0.8628965517241379
A11_H10__t2_t3,0,0.5117056856187291,0.5839589095219281,0.5789049919484702,0.40736543909348444,0.6160241874527589,24.588006142623136,27.459060435491963,28.730924648719405,0.5839589095219281,0.7236693091732729
A11_H9__t1_t2,0,0.8204826368452031,0.8578094976667582,0.8455192034139403,0.73238048299655,0.8580156727321026,13.321907101350378,9.240988124769263,8.94427190999916,0.8578094976667582,0.8574638393484061
A11_H9__t2_t3,0,0.7737763407291783,0.7065116279069767,0.7400479069236912,0.5873619409741083,0.7724821133736929,26.627053911388696,35.751917118245416,31.35679436416675,0.7737763407291783,0.5214025500910747
A14_H1__t1_t2,0,0.6929316338354577,0.6212664277180406,0.6744822196170379,0.5088443396226415,0.6759358288770053,59.58137505569717,12.383306565043995,11.063118960624626,0.6929316338354577,0.2018722018722018
A14_H1__t2_t3,0,0.3583180987202925,0.20260782347041123,0.2568690095846645,0.14736070381231672,0.20189905047476261,23.489212208874108,26.1725046566048,25.179356624028344,0.3583180987202925,0.0160233066278222
A15_H9__t1_t2,0,0.5551330798479087,0.7835951134380453,0.6118560338743825,0.4407727503812913,0.5467669172932331,156.0,15.231546211727817,154.76351682680917,0.7835951134380453,0.2806004618937644
A15_H9__t2_t3,0,0.8625664388762339,0.7028571428571428,0.7588383838383839,0.6113936927772126,0.7082152974504249,2.8284271247461903,13.674213878914035,12.619324002040555,0.8625664388762339,0.0805860805860805
