fold,epoch,loss,val_dice,val_iou,val_hd95,baseline_dice,delta,lr_bb,sec,ft,bd,w
0,0,0.7706241668487082,0.3481356952098805,0.2375912562946481,100.0413912554619,0.3888955634602504,-0.04075986825036987,6e-06,20.977454900741577,0.8203880190849304,0.0,0.0
0,1,0.6659316420555115,0.37652003589522154,0.2615858566535835,104.22372454825513,0.3888955634602504,-0.012375527565028854,1.2e-05,20.039467334747314,0.6685941219329834,0.0,0.0
0,2,0.5920511198287107,0.38482501006742564,0.28268852956366486,86.14296877230194,0.3888955634602504,-0.0040705533928247495,1.8e-05,20.15747570991516,0.402319073677063,0.0,0.0
0,3,0.6409517605693973,0.4073936293659453,0.28957344865723833,89.76820205394348,0.3888955634602504,0.018498065905694916,2.4e-05,36.074148416519165,0.619941771030426,0.0,0.0
0,4,0.5386724624098563,0.5062800451708971,0.3905359931790524,74.97158923616209,0.3888955634602504,0.1173844817106467,3.0000000000000004e-05,36.1210412979126,0.6123331785202026,0.0,0.0
0,5,0.5271082675578643,0.54617541758534,0.4322436868627957,50.878347318833924,0.3888955634602504,0.15727985412508966,3e-05,36.79633283615112,0.631303608417511,0.0,0.0
0,6,0.4326884199161919,0.5290198835279663,0.40970034377875203,69.41231936289347,0.3888955634602504,0.14012432006771586,2.999179886011389e-05,36.558496952056885,0.3386193513870239,0.0,0.0
0,7,0.4293587736937465,0.5144662685918412,0.4040867854141903,48.654753783996895,0.3888955634602504,0.1255707051315908,2.9967204408281618e-05,35.67315649986267,0.3158026337623596,0.0,0.0
0,8,0.40567572171590766,0.5278539543124481,0.41781036483724526,57.69245756121634,0.3888955634602504,0.1389583908521977,2.9926243538175172e-05,35.56601119041443,0.2444705069065094,0.0,0.0
0,9,0.37727286347321104,0.5082758586831398,0.4129777291086299,43.43952776794085,0.3888955634602504,0.11938029522288945,2.9868961039904628e-05,35.3319628238678,0.44962143898010254,0.0,0.0
0,10,0.36128400022886237,0.5677548144884874,0.46631149624077023,53.64167100666237,0.3888955634602504,0.17885925102823702,2.9795419551040836e-05,38.98112678527832,0.17054790258407593,0.0,0.0
0,11,0.34947361173678415,0.5410748623308911,0.4340742987040175,60.84011855163974,0.3888955634602504,0.1521792988706407,2.970569948812214e-05,36.18144392967224,0.5516729950904846,0.0,0.0
0,12,0.3402080399041273,0.5535009129688313,0.44058975290573493,48.9355992517994,0.3888955634602504,0.1646053495085809,2.9599898958720088e-05,36.74134087562561,0.6947846412658691,0.0,0.0
0,13,0.31274245831431174,0.5598750253440675,0.4581830081044671,39.850824808317576,0.3888955634602504,0.17097946188381713,2.947813365416023e-05,35.38820266723633,0.285743772983551,0.0,0.0
0,14,0.30872508214444533,0.5866451149333193,0.47258628315846385,45.697091422778975,0.3888955634602504,0.19774955147306889,2.9340536723015367e-05,34.851874589920044,0.7344199419021606,0.0,0.0
0,15,0.30297806828605883,0.553011592933657,0.4564589342682504,40.83689474717641,0.3888955634602504,0.1641160294734066,2.9187258625509518e-05,38.079132080078125,0.3741059899330139,0.0,0.0
0,16,0.28878243358767763,0.5801597816278247,0.476507799574929,49.51982770955416,0.3888955634602504,0.19126421816757427,2.9018466968991913e-05,35.86508893966675,0.19146403670310974,0.0,0.0
0,17,0.2854602799123647,0.5590052280280579,0.4679952788658392,28.495003470498556,0.3888955634602504,0.17010966456780746,2.883434632466077e-05,35.18877577781677,0.14211295545101166,0.0,0.0
0,18,0.2909372792560227,0.6124769043060407,0.5118210494910516,38.20042044877475,0.3888955634602504,0.22358134084579034,2.863509802573744e-05,35.74573040008545,0.24117571115493774,0.0,0.0
0,19,0.2565871005763813,0.5855428472058145,0.48290451128403206,46.37103038593316,0.3888955634602504,0.19664728374556412,2.8420939947311454e-05,36.63724732398987,0.22105449438095093,0.0,0.0
0,20,0.2579548246398264,0.5612214119236315,0.4733940732158635,32.515204207609926,0.3888955634602504,0.17232584846338111,2.8192106268097336e-05,49.30500888824463,0.1794222891330719,-0.00266480166465044,0.0012626262626262534
0,21,0.2621079398965349,0.5525070479146338,0.4551412226926682,46.10760364739781,0.3888955634602504,0.1636114844543834,2.794884721436361e-05,43.55131268501282,0.0868910551071167,-0.04688910022377968,0.0075757575757575725
0,22,0.25789027341774534,0.556275552922783,0.468573237009211,42.63254665945422,0.3888955634602504,0.16737998946253257,2.769142878631403e-05,42.252521276474,0.43243399262428284,0.9894107580184937,0.013888888888888874
0,23,0.25310611892111445,0.5846378644805688,0.4835110283350925,37.059441958404186,0.3888955634602504,0.19574230102031837,2.74201324672203e-05,42.37415170669556,0.3659195601940155,0.022332070395350456,0.020202020202020193
0,24,0.24545970695967578,0.5875015765851981,0.4873443829102551,38.10235725265298,0.3888955634602504,0.1986060131249477,2.7135254915624213e-05,42.057942628860474,0.19524891674518585,-0.03850123658776283,0.026515151515151512
0,25,0.22893883880912042,0.6004950262615363,0.4994049976066605,44.203772144827596,0.3888955634602504,0.2115994628012859,2.6837107640945904e-05,49.77319860458374,0.11213245987892151,-0.02085365727543831,0.03282828282828283
0,26,0.23440267145633698,0.5687372401083565,0.464889990286121,42.51032436715896,0.3888955634602504,0.17984167664810607,2.6526016662852887e-05,42.44975280761719,0.16160854697227478,-0.038360100239515305,0.03914141414141415
0,27,0.22527640115241615,0.5916240607446529,0.49212544995871016,50.41539037684269,0.3888955634602504,0.2027284972844025,2.620232215476231e-05,42.200722455978394,0.1709582358598709,-0.04515253007411957,0.045454545454545435
0,28,0.23822749725409917,0.5947660584157146,0.49790551996490756,38.4500045258325,0.3888955634602504,0.20587049495546422,2.5866378071866338e-05,42.20768666267395,0.1687057912349701,-0.06573845446109772,0.051767676767676754
0,29,0.2305376623966256,0.5562578269809544,0.466060747916605,38.55482898158804,0.3888955634602504,0.167362263520704,2.5518551764087326e-05,42.12908124923706,0.2420019656419754,-0.025114940479397774,0.05808080808080807
0,30,0.22951488318491955,0.5727620445307091,0.47519859004618625,51.15177491198039,0.3888955634602504,0.18386648107045872,2.5159223574386117e-05,48.91740822792053,0.10325174033641815,-0.03954898193478584,0.06439393939393939
0,31,0.23028251171416167,0.5970392956180366,0.5000786278505607,36.23031581767986,0.3888955634602504,0.2081437321577862,2.478878642286253e-05,43.14331007003784,0.6490181684494019,0.029951658099889755,0.0707070707070707
0,32,0.21840655606011955,0.5818402303617594,0.4900432524150633,39.0059239969716,0.3888955634602504,0.19294466690150897,2.4407645377103056e-05,42.86849522590637,0.3267432451248169,-0.0020196656696498394,0.07702020202020203
